"DateTime";"Load Consumption"
"2016-11-04 09:30:00";35,18
"2016-11-04 09:35:00";34,15
"2016-11-04 09:40:00";35,35
"2016-11-04 09:45:00";37,02
"2016-11-04 09:50:00";37,48
"2016-11-04 09:55:00";41,85
"2016-11-04 10:00:00";35,31
"2016-11-04 10:05:00";35,45
"2016-11-04 10:10:00";34,59
"2016-11-04 10:15:00";36,16
"2016-11-04 10:20:00";34,29
"2016-11-04 10:25:00";33,34
"2016-11-04 10:35:00";33,22
"2016-11-04 10:40:00";32,78
"2016-11-04 10:45:00";30,26
"2016-11-04 10:50:00";32,02
"2016-11-04 10:55:00";35,49
"2016-11-04 11:00:00";39,76
"2016-11-04 11:05:00";38,69
"2016-11-04 11:10:00";37,31
"2016-11-04 11:15:00";34,49
"2016-11-04 11:20:00";26,97
"2016-11-04 11:25:00";30,36
"2016-11-04 11:30:00";31,54
"2016-11-04 11:35:00";30,85
"2016-11-04 11:40:00";28,06
"2016-11-04 11:45:00";32,09
"2016-11-04 11:50:00";34,33
"2016-11-04 11:55:00";22,68
"2016-11-04 12:00:00";28,86
"2016-11-04 12:05:00";30,16
"2016-11-04 12:10:00";34,83
"2016-11-04 12:15:00";37,99
"2016-11-04 12:20:00";36
"2016-11-04 12:25:00";32,84
"2016-11-04 12:30:00";32,76
"2016-11-04 12:35:00";30,9
"2016-11-04 12:40:00";32,19
"2016-11-04 12:45:00";31,85
"2016-11-04 12:50:00";30,65
"2016-11-04 12:55:00";34,09
"2016-11-04 13:00:00";33,26
"2016-11-04 13:05:00";31,88
"2016-11-04 13:10:00";32,31
"2016-11-04 13:15:00";34,75
"2016-11-04 13:20:00";35,39
"2016-11-04 13:25:00";35,73
"2016-11-04 13:30:00";37,22
"2016-11-04 13:35:00";35,99
"2016-11-04 13:40:00";32,81
"2016-11-04 13:45:00";30,89
"2016-11-04 13:50:00";33,47
"2016-11-04 13:55:00";32,25
"2016-11-04 14:00:00";32,17
"2016-11-04 14:05:00";32,34
"2016-11-04 14:10:00";32,87
"2016-11-04 14:15:00";34,89
"2016-11-04 14:20:00";33,42
"2016-11-04 14:25:00";32,88
"2016-11-04 14:30:00";33,32
"2016-11-04 14:35:00";31,22
"2016-11-04 14:40:00";33,27
"2016-11-04 14:45:00";34,93
"2016-11-04 14:50:00";32,39
"2016-11-04 14:55:00";32,33
"2016-11-04 15:00:00";31,63
"2016-11-04 15:05:00";32,56
"2016-11-04 15:10:00";37,61
"2016-11-04 15:15:00";41,12
"2016-11-04 15:20:00";39,73
"2016-11-04 15:25:00";40,77
"2016-11-04 15:30:00";40,39
"2016-11-04 15:35:00";41,79
"2016-11-04 15:40:00";40,82
"2016-11-04 15:45:00";38,98
"2016-11-04 15:50:00";41,48
"2016-11-04 15:55:00";41,94
"2016-11-04 16:00:00";42,69
"2016-11-04 16:05:00";45,47
"2016-11-04 16:10:00";47,67
"2016-11-04 16:15:00";49
"2016-11-04 16:20:00";47,39
"2016-11-04 16:25:00";47,17
"2016-11-04 16:30:00";46,87
"2016-11-04 16:35:00";46,72
"2016-11-04 16:40:00";48,46
"2016-11-04 16:45:00";46,89
"2016-11-04 16:50:00";48,61
"2016-11-04 16:55:00";47,13
"2016-11-04 17:00:00";42,34
"2016-11-04 17:05:00";43,67
"2016-11-04 17:10:00";42,5
"2016-11-04 17:15:00";41,19
"2016-11-04 17:20:00";42,03
"2016-11-04 17:25:00";41,54
"2016-11-04 17:30:00";43,42
"2016-11-04 17:35:00";43,85
"2016-11-04 17:40:00";43,95
"2016-11-04 17:45:00";46,85
"2016-11-04 17:50:00";45,74
"2016-11-04 17:55:00";48,46
"2016-11-04 18:00:00";51,32
"2016-11-04 18:05:00";49,42
"2016-11-04 18:10:00";52,74
"2016-11-04 18:15:00";52,69
"2016-11-04 18:20:00";49,05
"2016-11-04 18:25:00";48,09
"2016-11-04 18:30:00";46,93
"2016-11-04 18:35:00";48,15
"2016-11-04 18:40:00";47,31
"2016-11-04 18:45:00";44,54
"2016-11-04 18:50:00";43,87
"2016-11-04 18:55:00";44,24
"2016-11-04 19:00:00";43,6
"2016-11-04 19:05:00";42,13
"2016-11-04 19:10:00";43,22
"2016-11-04 19:15:00";46,15
"2016-11-04 19:20:00";45,21
"2016-11-04 19:25:00";44,27
"2016-11-04 19:30:00";42,23
"2016-11-04 19:35:00";41,4
"2016-11-04 19:40:00";42,61
"2016-11-04 19:45:00";46,39
"2016-11-04 19:50:00";47,7
"2016-11-04 19:55:00";46,06
"2016-11-04 20:00:00";44,26
"2016-11-04 20:05:00";43,14
"2016-11-04 20:10:00";41,14
"2016-11-04 20:15:00";43,17
"2016-11-04 20:20:00";42,23
"2016-11-04 20:25:00";39,91
"2016-11-04 20:30:00";41,87
