DateTime;Load Consuption
01.01.2017 0:00;24,72
01.01.2017 0:05;24,31
01.01.2017 0:10;24,69
01.01.2017 0:15;24,5
01.01.2017 0:20;25,11
01.01.2017 0:25;25,13
01.01.2017 0:30;24,73
01.01.2017 0:35;24,1
01.01.2017 0:40;23,76
01.01.2017 0:45;24,23
01.01.2017 0:50;24,71
01.01.2017 0:55;24,32
01.01.2017 1:00;22,42
01.01.2017 1:05;22,02
01.01.2017 1:10;21,64
01.01.2017 1:15;21,15
01.01.2017 1:20;22,35
01.01.2017 1:25;22,62
01.01.2017 1:30;20,79
01.01.2017 1:35;20,74
01.01.2017 1:40;20,78
01.01.2017 1:45;20,41
01.01.2017 1:50;20,65
01.01.2017 1:55;21,58
01.01.2017 2:00;23,15
01.01.2017 2:05;22,59
01.01.2017 2:10;21,67
01.01.2017 2:15;21,74
01.01.2017 2:20;22,01
01.01.2017 2:25;21,84
01.01.2017 2:30;21,83
01.01.2017 2:35;22,68
01.01.2017 2:40;21,74
01.01.2017 2:45;21,7
01.01.2017 2:50;21,93
01.01.2017 2:55;22,89
01.01.2017 3:00;21,72
01.01.2017 3:05;21,75
01.01.2017 3:10;22,45
01.01.2017 3:15;22,34
01.01.2017 3:20;21,82
01.01.2017 3:25;21,54
01.01.2017 3:30;21,31
01.01.2017 3:35;20,98
01.01.2017 3:40;22,07
01.01.2017 3:45;21,54
01.01.2017 3:50;21,7
01.01.2017 3:55;20,84
01.01.2017 4:00;21,01
01.01.2017 4:05;22,06
01.01.2017 4:10;21,85
01.01.2017 4:15;21,67
01.01.2017 4:20;21,81
01.01.2017 4:25;21,22
01.01.2017 4:30;22,19
01.01.2017 4:35;21,6
01.01.2017 4:40;22,06
01.01.2017 4:45;21,62
01.01.2017 4:50;21,49
01.01.2017 4:55;23,57
01.01.2017 5:00;23,13
01.01.2017 5:05;23,45
01.01.2017 5:10;24,03
01.01.2017 5:15;24,25
01.01.2017 5:20;24,85
01.01.2017 5:25;24,02
01.01.2017 5:30;24
01.01.2017 5:35;23,72
01.01.2017 5:40;23,73
01.01.2017 5:45;25,45
01.01.2017 5:50;24
01.01.2017 5:55;23,6
01.01.2017 6:00;24,1
01.01.2017 6:05;24,09
01.01.2017 6:10;24,49
01.01.2017 6:15;24,8
01.01.2017 6:20;24,84
01.01.2017 6:25;24,71
01.01.2017 6:30;23,32
01.01.2017 6:35;23,14
01.01.2017 6:40;23,98
01.01.2017 6:45;22,73
01.01.2017 6:50;23,3
01.01.2017 6:55;26,67
01.01.2017 7:00;26,69
01.01.2017 7:05;26,51
01.01.2017 7:10;25,14
01.01.2017 7:15;25,36
01.01.2017 7:20;25,51
01.01.2017 7:25;25,72
01.01.2017 7:30;27,7
01.01.2017 7:35;28,99
01.01.2017 7:40;28,52
01.01.2017 7:45;26,68
01.01.2017 7:50;25,4
01.01.2017 7:55;25,4
01.01.2017 8:00;25,32
01.01.2017 8:05;25
01.01.2017 8:10;25,79
01.01.2017 8:15;25,62
01.01.2017 8:20;26,03
01.01.2017 8:25;26,32
01.01.2017 8:30;25,24
01.01.2017 8:35;25,28
01.01.2017 8:40;25,65
01.01.2017 8:45;25,6
01.01.2017 8:50;27,2
01.01.2017 8:55;26,66
01.01.2017 9:00;25,51
01.01.2017 9:05;25,85
01.01.2017 9:10;25,29
01.01.2017 9:15;26,01
01.01.2017 9:20;26,13
01.01.2017 9:25;26,11
01.01.2017 9:30;26,07
01.01.2017 9:35;25,55
01.01.2017 9:40;26,26
