DateTime;Load Consuption
01.01.2019 0:00;23,63
01.01.2019 0:05;24,53
01.01.2019 0:10;25,36
01.01.2019 0:15;26,4
01.01.2019 0:20;24,12
01.01.2019 0:25;22,59
01.01.2019 0:30;22,39
01.01.2019 0:35;23,2
01.01.2019 0:40;23,81
01.01.2019 0:45;23,6
01.01.2019 0:50;23,45
01.01.2019 0:55;24,11
01.01.2019 1:00;23,23
01.01.2019 1:05;22,88
01.01.2019 1:10;22,96
01.01.2019 1:15;23,83
01.01.2019 1:20;24,53
01.01.2019 1:25;23,79
01.01.2019 1:30;23,52
01.01.2019 1:35;23,58
01.01.2019 1:40;23,11
01.01.2019 1:45;23,25
01.01.2019 1:50;23,24
01.01.2019 2:00;22,67
01.01.2019 2:05;22,59
01.01.2019 2:10;22,61
01.01.2019 2:15;22,45
01.01.2019 2:20;22,66
01.01.2019 2:25;21,9
01.01.2019 2:30;22,3
01.01.2019 2:35;22,08
01.01.2019 2:40;22,27
01.01.2019 2:45;21,85
01.01.2019 2:50;21,63
01.01.2019 2:55;21,25
01.01.2019 3:00;21,44
01.01.2019 3:05;21,7
01.01.2019 3:10;22,08
01.01.2019 3:15;22,03
01.01.2019 3:20;22,78
01.01.2019 3:25;22,52
01.01.2019 3:30;22,26
01.01.2019 3:35;22,49
01.01.2019 3:40;22,07
01.01.2019 3:45;22,24
01.01.2019 3:50;21,95
01.01.2019 3:55;22,19
01.01.2019 4:00;22,23
01.01.2019 4:05;21,89
01.01.2019 4:10;21,78
01.01.2019 4:15;21,9
01.01.2019 4:20;21,41
01.01.2019 4:25;21,41
01.01.2019 4:30;21,17
01.01.2019 4:35;21,18
01.01.2019 4:40;21,57
01.01.2019 4:45;21,2
01.01.2019 4:50;21,03
01.01.2019 4:55;20,89
01.01.2019 5:00;20,36
01.01.2019 5:05;20,18
01.01.2019 5:10;20,27
01.01.2019 5:15;20,64
01.01.2019 5:20;20,84
01.01.2019 5:25;20,93
01.01.2019 5:30;20,6
01.01.2019 5:35;20,53
01.01.2019 5:40;20,82
01.01.2019 5:45;21,44
01.01.2019 5:50;21,38
01.01.2019 5:55;22,18
01.01.2019 6:00;22,75
01.01.2019 6:05;21,92
01.01.2019 6:10;21,55
01.01.2019 6:15;21,37
01.01.2019 6:20;21,85
01.01.2019 6:25;22,09
01.01.2019 6:30;21,68
01.01.2019 6:35;21,98
01.01.2019 6:40;23,17
01.01.2019 6:45;24,32
01.01.2019 6:50;24,87
01.01.2019 6:55;25,45
01.01.2019 7:00;25,78
01.01.2019 7:05;25,74
01.01.2019 7:10;24,85
01.01.2019 7:15;24,51
01.01.2019 7:20;24,18
01.01.2019 7:25;24,55
01.01.2019 7:30;24,34
01.01.2019 7:35;24,41
01.01.2019 7:40;25,79
01.01.2019 7:45;26,21
01.01.2019 7:50;25,78
01.01.2019 7:55;25,48
01.01.2019 8:00;25,52
01.01.2019 8:05;25,18
01.01.2019 8:10;25,87
01.01.2019 8:15;24,94
01.01.2019 8:20;25,01
01.01.2019 8:25;24,54
01.01.2019 8:30;24,97
01.01.2019 8:35;24,87
01.01.2019 8:40;25,73
01.01.2019 8:45;25,45
01.01.2019 8:50;26,58
01.01.2019 8:55;26,76
01.01.2019 9:00;27,43
01.01.2019 9:05;27,74
01.01.2019 9:10;27,48
01.01.2019 9:15;27,76
01.01.2019 9:20;27,65
01.01.2019 9:25;27,76
01.01.2019 9:30;26,29
01.01.2019 9:35;26,55
01.01.2019 9:40;27,34
01.01.2019 9:45;26,9
01.01.2019 9:50;27,42
01.01.2019 9:55;27,89
01.01.2019 10:00;27,84
01.01.2019 10:05;27,86
01.01.2019 10:10;27,59
01.01.2019 10:15;27,91
01.01.2019 10:20;28,2
01.01.2019 10:25;28,29
01.01.2019 10:30;28,45
01.01.2019 10:35;28,39
01.01.2019 10:40;27,7
01.01.2019 10:45;27,8
01.01.2019 10:50;28,35
01.01.2019 10:55;28,16
01.01.2019 11:00;26,61
01.01.2019 11:05;27,2
01.01.2019 11:10;28,54
01.01.2019 11:15;27,82
01.01.2019 11:20;25,88
01.01.2019 11:25;24,68
01.01.2019 11:30;25,53
01.01.2019 11:35;27,65
01.01.2019 11:40;28,49
01.01.2019 11:45;25,83
01.01.2019 11:50;24,82
01.01.2019 11:55;24,75
01.01.2019 12:00;24,08
01.01.2019 12:05;22,86
01.01.2019 12:10;22,82
01.01.2019 12:15;23,9
01.01.2019 12:20;25,12
01.01.2019 12:25;25,76
01.01.2019 12:30;23,65
01.01.2019 12:35;23,19
01.01.2019 12:40;24,56
01.01.2019 12:45;29,25
01.01.2019 12:50;30,72
01.01.2019 12:55;30,15
01.01.2019 13:00;32,04
01.01.2019 13:05;31,9
01.01.2019 13:10;32,8
01.01.2019 13:15;35,33
01.01.2019 13:20;31,46
01.01.2019 13:25;29,56
01.01.2019 13:30;28,71
01.01.2019 13:35;27,68
01.01.2019 13:40;30,65
01.01.2019 13:45;29,85
01.01.2019 13:50;27,93
01.01.2019 13:55;27,95
