"DateTime";"Load Consumption"
"2019-05-06 00:00:00";20,3
"2019-05-06 00:05:00";19,9
"2019-05-06 00:10:00";19,3
"2019-05-06 00:15:00";18,92
"2019-05-06 00:20:00";18,22
"2019-05-06 00:25:00";18,06
"2019-05-06 00:30:00";18,38
"2019-05-06 00:35:00";17,84
"2019-05-06 00:40:00";17,86
"2019-05-06 00:45:00";18,46
"2019-05-06 00:50:00";18,67
"2019-05-06 00:55:00";18,65
"2019-05-06 01:00:00";18,9
"2019-05-06 01:05:00";17,83
"2019-05-06 01:10:00";17,73
"2019-05-06 01:15:00";18,16
"2019-05-06 01:20:00";17,43
"2019-05-06 01:25:00";17,82
"2019-05-06 01:30:00";18,77
"2019-05-06 01:35:00";17,72
"2019-05-06 01:40:00";17,45
"2019-05-06 01:45:00";17,67
"2019-05-06 01:50:00";17,18
"2019-05-06 01:55:00";16,81
"2019-05-06 02:00:00";16,6
"2019-05-06 02:05:00";16,59
"2019-05-06 02:10:00";17,45
"2019-05-06 02:15:00";17,02
"2019-05-06 02:20:00";17,91
"2019-05-06 02:25:00";18,91
"2019-05-06 02:30:00";19,84
"2019-05-06 02:35:00";19,54
"2019-05-06 02:40:00";18,16
"2019-05-06 02:45:00";17,02
"2019-05-06 02:50:00";16,65
"2019-05-06 02:55:00";16,63
"2019-05-06 03:00:00";17,56
"2019-05-06 03:05:00";17,1
"2019-05-06 03:10:00";16,42
"2019-05-06 03:15:00";17,14
"2019-05-06 03:20:00";17,13
"2019-05-06 03:25:00";16,92
"2019-05-06 03:30:00";17,51
"2019-05-06 03:35:00";16,95
"2019-05-06 03:40:00";16,76
"2019-05-06 03:45:00";16,61
"2019-05-06 03:50:00";16,12
"2019-05-06 03:55:00";16,49
"2019-05-06 04:00:00";16,53
"2019-05-06 04:05:00";16,8
"2019-05-06 04:10:00";16,65
"2019-05-06 04:15:00";17,28
"2019-05-06 04:20:00";16,53
"2019-05-06 04:25:00";17,02
"2019-05-06 04:30:00";17,09
"2019-05-06 04:35:00";16,08
"2019-05-06 04:40:00";15,98
"2019-05-06 04:45:00";16,04
"2019-05-06 04:50:00";16,17
"2019-05-06 04:55:00";14,84
"2019-05-06 05:00:00";15,39
"2019-05-06 05:05:00";15,77
"2019-05-06 05:10:00";16,18
"2019-05-06 05:15:00";15,54
"2019-05-06 05:20:00";15,56
"2019-05-06 05:25:00";15,68
"2019-05-06 05:30:00";15,03
"2019-05-06 05:35:00";15,15
"2019-05-06 05:40:00";15,44
"2019-05-06 05:45:00";15
"2019-05-06 05:50:00";14,91
"2019-05-06 05:55:00";16,16
"2019-05-06 06:00:00";19,33
"2019-05-06 06:05:00";20,3
"2019-05-06 06:10:00";18,43
"2019-05-06 06:15:00";18,2
"2019-05-06 06:20:00";19,48
"2019-05-06 06:25:00";19,99
"2019-05-06 06:30:00";18,98
"2019-05-06 06:35:00";18,7
"2019-05-06 06:40:00";19,56
"2019-05-06 06:45:00";20,26
"2019-05-06 06:50:00";21,34
"2019-05-06 06:55:00";22,41
"2019-05-06 07:00:00";21,12
"2019-05-06 07:05:00";22,13
"2019-05-06 07:10:00";24,25
"2019-05-06 07:15:00";26,3
"2019-05-06 07:20:00";26,52
"2019-05-06 07:25:00";25,57
"2019-05-06 07:30:00";26,52
"2019-05-06 07:35:00";26,51
"2019-05-06 07:40:00";23,95
"2019-05-06 07:45:00";24,35
"2019-05-06 07:50:00";24,27
"2019-05-06 07:55:00";20,68
"2019-05-06 08:00:00";22,83
"2019-05-06 08:05:00";23,46
"2019-05-06 08:10:00";25,15
"2019-05-06 08:15:00";23,24
"2019-05-06 08:20:00";23,83
"2019-05-06 08:25:00";24,13
"2019-05-06 08:30:00";22,72
"2019-05-06 08:35:00";24,61
"2019-05-06 08:40:00";24,6
"2019-05-06 08:45:00";24,4
"2019-05-06 08:50:00";27,31
"2019-05-06 08:55:00";27,74
"2019-05-06 09:00:00";23,2
"2019-05-06 09:05:00";24,57
"2019-05-06 09:10:00";24,89
"2019-05-06 09:15:00";24,83
"2019-05-06 09:20:00";24,29
"2019-05-06 09:25:00";23,26
"2019-05-06 09:30:00";24,43
"2019-05-06 09:35:00";24,93
"2019-05-06 09:40:00";26,27
"2019-05-06 09:45:00";28,13
"2019-05-06 09:50:00";26,5
"2019-05-06 09:55:00";28,03
"2019-05-06 10:00:00";27,25
"2019-05-06 10:05:00";27,84
"2019-05-06 10:10:00";26
"2019-05-06 10:15:00";25,38
"2019-05-06 10:20:00";27,92
"2019-05-06 10:25:00";27,98
"2019-05-06 10:30:00";25,6
"2019-05-06 10:35:00";25,3
"2019-05-06 10:40:00";26,47
"2019-05-06 10:45:00";29,57
"2019-05-06 10:50:00";26,16
"2019-05-06 10:55:00";26,41
"2019-05-06 11:00:00";27,67
"2019-05-06 11:05:00";27,52
"2019-05-06 11:10:00";26,44
"2019-05-06 11:15:00";29,78
"2019-05-06 11:20:00";30,42
"2019-05-06 11:25:00";29,59
"2019-05-06 11:30:00";31,24
"2019-05-06 11:35:00";28,82
"2019-05-06 11:40:00";27,37
"2019-05-06 11:45:00";29,29
"2019-05-06 11:50:00";28,87
"2019-05-06 11:55:00";28,33
"2019-05-06 12:00:00";27,84
"2019-05-06 12:05:00";28,33
"2019-05-06 12:10:00";28,13
"2019-05-06 12:15:00";30,86
"2019-05-06 12:20:00";27,75
"2019-05-06 12:25:00";25,89
"2019-05-06 12:30:00";31,11
"2019-05-06 12:35:00";29,23
"2019-05-06 12:40:00";30,26
"2019-05-06 12:45:00";30,05
"2019-05-06 12:50:00";26,95
"2019-05-06 12:55:00";28,12
"2019-05-06 13:00:00";26,41
"2019-05-06 13:05:00";26,15
"2019-05-06 13:10:00";26,33
